buildroot login: root
# [   24.728085][    C0] xhci_hcd 0000:00:04.0: handle events!
[   25.104044][    C0] xhci_hcd 0000:00:04.0: handle event completion
[   25.104159][    C0] xhci_hcd 0000:00:04.0: completion code:1
[   25.104306][    C0] xhci_hcd 0000:00:04.0:  xhci interrupt!
[   25.106297][   T47] xhci_hcd 0000:00:04.0: xhci_setup_device
[   25.106614][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   25.106756][   T47] xhci_hcd 0000:00:04.0: 1243000
[   25.106845][   T47] xhci_hcd 0000:00:04.0: 1
[   25.106906][   T47] xhci_hcd 0000:00:04.0: 0
[   25.106986][   T47] xhci_hcd 0000:00:04.0: 1002c01
[   25.107484][    C0] xhci_hcd 0000:00:04.0: handle events!
[   25.107624][    C0] xhci_hcd 0000:00:04.0: handle event trb!
[   25.107703][    C0] xhci_hcd 0000:00:04.0: cmd completion
[   25.107967][    C0] xhci_hcd 0000:00:04.0: handle event completion
[   25.108122][    C0] xhci_hcd 0000:00:04.0: completion code:1
[   25.108275][    C0] xhci_hcd 0000:00:04.0:  xhci interrupt!
[   25.109684][   T47] usb 1-1: enable endpoint 0
[   25.110198][   T47] xhci_hcd 0000:00:04.0: xhci_endpoint_reset
[   25.123538][   T47] usb 1-1: submitted urb:
[   25.123740][   T47] usb 1-1: pipe:2147484288d,stream:0d
[   25.124053][   T47] usb 1-1: control request! transfer flag:0
[   25.124176][   T47] usb 1-1: req type:80
[   25.124260][   T47] usb 1-1: req6
[   25.124342][   T47] usb 1-1: index:0
[   25.124444][   T47] usb 1-1: value:100
[   25.124609][   T47] usb 1-1: length:12
[   25.125203][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   25.125450][   T47] xhci_hcd 0000:00:04.0: 1000680
[   25.125512][   T47] xhci_hcd 0000:00:04.0: 120000
[   25.125564][   T47] xhci_hcd 0000:00:04.0: 8
[   25.125614][   T47] xhci_hcd 0000:00:04.0: 30840
[   25.125694][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   25.125780][   T47] xhci_hcd 0000:00:04.0: 1085f40
[   25.125846][   T47] xhci_hcd 0000:00:04.0: 1
[   25.125900][   T47] xhci_hcd 0000:00:04.0: 12
[   25.125986][   T47] xhci_hcd 0000:00:04.0: 10c05
[   25.126036][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   25.126089][   T47] xhci_hcd 0000:00:04.0: 0
[   25.126175][   T47] xhci_hcd 0000:00:04.0: 0
[   25.126351][   T47] xhci_hcd 0000:00:04.0: 0
[   25.126438][   T47] xhci_hcd 0000:00:04.0: 1021
[   25.126656][   T47] xhci_hcd 0000:00:04.0: got 0
[   25.129253][    C0] xhci_hcd 0000:00:04.0: handle events!
[   25.135057][    C0] xhci_hcd 0000:00:04.0: handle event trb!
[   25.135270][    C0] xhci_hcd 0000:00:04.0: trb transfer!
[   25.135866][    C0] xhci_hcd 0000:00:04.0: trb complete code:1
[   25.138847][    C0] xhci_hcd 0000:00:04.0:  xhci interrupt!
[   25.140491][   T47] usb 1-1: submitted urb:
[   25.140654][   T47] usb 1-1: pipe:2147484288d,stream:0d
[   25.140930][   T47] usb 1-1: control request! transfer flag:0
[   25.141105][   T47] usb 1-1: req type:80
[   25.141200][   T47] usb 1-1: req6
[   25.141276][   T47] usb 1-1: index:0
[   25.141363][   T47] usb 1-1: value:200
[   25.141445][   T47] usb 1-1: length:9
[   25.141606][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   25.141851][   T47] xhci_hcd 0000:00:04.0: 2000680
[   25.141992][   T47] xhci_hcd 0000:00:04.0: 90000
[   25.142145][   T47] xhci_hcd 0000:00:04.0: 8
[   25.142242][   T47] xhci_hcd 0000:00:04.0: 30840
[   25.142333][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   25.142406][   T47] xhci_hcd 0000:00:04.0: 10c4b80
[   25.142496][   T47] xhci_hcd 0000:00:04.0: 1
[   25.142567][   T47] xhci_hcd 0000:00:04.0: 9
[   25.142628][   T47] xhci_hcd 0000:00:04.0: 10c05
[   25.142682][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   25.142744][   T47] xhci_hcd 0000:00:04.0: 0
[   25.142829][   T47] xhci_hcd 0000:00:04.0: 0
[   25.142958][   T47] xhci_hcd 0000:00:04.0: 0
[   25.143066][   T47] xhci_hcd 0000:00:04.0: 1021
[   25.143329][   T47] xhci_hcd 0000:00:04.0: got 0
[   25.144678][    C0] xhci_hcd 0000:00:04.0: handle events!
[   25.144935][    C0] xhci_hcd 0000:00:04.0: handle event trb!
[   25.145033][    C0] xhci_hcd 0000:00:04.0: trb transfer!
[   25.145223][    C0] xhci_hcd 0000:00:04.0: trb complete code:1
[   25.145452][    C0] xhci_hcd 0000:00:04.0:  xhci interrupt!
[   25.146249][   T47] usb 1-1: submitted urb:
[   25.146366][   T47] usb 1-1: pipe:2147484288d,stream:0d
[   25.146454][   T47] usb 1-1: control request! transfer flag:0
[   25.146602][   T47] usb 1-1: req type:80
[   25.146697][   T47] usb 1-1: req6
[   25.147561][   T47] usb 1-1: index:0
[   25.147666][   T47] usb 1-1: value:200
[   25.147969][   T47] usb 1-1: length:2b9
[   25.148129][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   25.148222][   T47] xhci_hcd 0000:00:04.0: 2000680
[   25.148399][   T47] xhci_hcd 0000:00:04.0: 2b90000
[   25.148494][   T47] xhci_hcd 0000:00:04.0: 8
[   25.148559][   T47] xhci_hcd 0000:00:04.0: 30840
[   25.148635][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   25.148699][   T47] xhci_hcd 0000:00:04.0: eb7000
[   25.148760][   T47] xhci_hcd 0000:00:04.0: 1
[   25.149071][   T47] xhci_hcd 0000:00:04.0: 2b9
[   25.149254][   T47] xhci_hcd 0000:00:04.0: 10c05
[   25.149357][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   25.149503][   T47] xhci_hcd 0000:00:04.0: 0
[   25.149570][   T47] xhci_hcd 0000:00:04.0: 0
[   25.149657][   T47] xhci_hcd 0000:00:04.0: 0
[   25.149746][   T47] xhci_hcd 0000:00:04.0: 1021
[   25.150029][   T47] xhci_hcd 0000:00:04.0: got 0
[   25.171810][    C0] xhci_hcd 0000:00:04.0: handle events!
[   25.172043][    C0] xhci_hcd 0000:00:04.0: handle event trb!
[   25.172179][    C0] xhci_hcd 0000:00:04.0: trb transfer!
[   25.172314][    C0] xhci_hcd 0000:00:04.0: trb complete code:1
[   25.172549][    C0] xhci_hcd 0000:00:04.0:  xhci interrupt!
[   25.173682][   T47] usb 1-1: submitted urb:
[   25.173932][   T47] usb 1-1: pipe:2147484288d,stream:0d
[   25.174020][   T47] usb 1-1: control request! transfer flag:0
[   25.174093][   T47] usb 1-1: req type:80
[   25.174141][   T47] usb 1-1: req6
[   25.174214][   T47] usb 1-1: index:0
[   25.174269][   T47] usb 1-1: value:300
[   25.174321][   T47] usb 1-1: length:ff
[   25.175994][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   25.176139][   T47] xhci_hcd 0000:00:04.0: 3000680
[   25.176222][   T47] xhci_hcd 0000:00:04.0: ff0000
[   25.176319][   T47] xhci_hcd 0000:00:04.0: 8
[   25.176572][   T47] xhci_hcd 0000:00:04.0: 30840
[   25.176686][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   25.176869][   T47] xhci_hcd 0000:00:04.0: 12a3000
[   25.176962][   T47] xhci_hcd 0000:00:04.0: 1
[   25.177058][   T47] xhci_hcd 0000:00:04.0: ff
[   25.177160][   T47] xhci_hcd 0000:00:04.0: 10c05
[   25.177267][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   25.177361][   T47] xhci_hcd 0000:00:04.0: 0
[   25.177493][   T47] xhci_hcd 0000:00:04.0: 0
[   25.177608][   T47] xhci_hcd 0000:00:04.0: 0
[   25.177717][   T47] xhci_hcd 0000:00:04.0: 1021
[   25.178013][   T47] xhci_hcd 0000:00:04.0: got 0
[   25.179212][    C0] xhci_hcd 0000:00:04.0: handle events!
[   25.179417][    C0] xhci_hcd 0000:00:04.0: handle event trb!
[   25.179504][    C0] xhci_hcd 0000:00:04.0: trb transfer!
[   25.179577][    C0] xhci_hcd 0000:00:04.0: trb complete code:13
[   25.179675][    C0] xhci_hcd 0000:00:04.0: handle event trb!
[   25.179752][    C0] xhci_hcd 0000:00:04.0: trb transfer!
[   25.180003][    C0] xhci_hcd 0000:00:04.0: trb complete code:1
[   25.180165][    C0] xhci_hcd 0000:00:04.0:  xhci interrupt!
[   25.181051][   T47] usb 1-1: submitted urb:
[   25.181207][   T47] usb 1-1: pipe:2147484288d,stream:0d
[   25.181333][   T47] usb 1-1: control request! transfer flag:0
[   25.181457][   T47] usb 1-1: req type:80
[   25.181559][   T47] usb 1-1: req6
[   25.181653][   T47] usb 1-1: index:409
[   25.181722][   T47] usb 1-1: value:301
[   25.182015][   T47] usb 1-1: length:ff
[   25.183234][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   25.183372][   T47] xhci_hcd 0000:00:04.0: 3010680
[   25.183467][   T47] xhci_hcd 0000:00:04.0: ff0409
[   25.183559][   T47] xhci_hcd 0000:00:04.0: 8
[   25.183655][   T47] xhci_hcd 0000:00:04.0: 30840
[   25.183942][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   25.184055][   T47] xhci_hcd 0000:00:04.0: 12a3000
[   25.184158][   T47] xhci_hcd 0000:00:04.0: 1
[   25.184260][   T47] xhci_hcd 0000:00:04.0: ff
[   25.184352][   T47] xhci_hcd 0000:00:04.0: 10c05
[   25.184445][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   25.184545][   T47] xhci_hcd 0000:00:04.0: 0
[   25.184638][   T47] xhci_hcd 0000:00:04.0: 0
[   25.184694][   T47] xhci_hcd 0000:00:04.0: 0
[   25.184743][   T47] xhci_hcd 0000:00:04.0: 1021
[   25.185017][   T47] xhci_hcd 0000:00:04.0: got 0
[   25.187540][    C0] xhci_hcd 0000:00:04.0: handle events!
[   25.187746][    C0] xhci_hcd 0000:00:04.0: handle event trb!
[   25.187972][    C0] xhci_hcd 0000:00:04.0: trb transfer!
[   25.188080][    C0] xhci_hcd 0000:00:04.0: trb complete code:13
[   25.188207][    C0] xhci_hcd 0000:00:04.0: handle event trb!
[   25.188314][    C0] xhci_hcd 0000:00:04.0: trb transfer!
[   25.188440][    C0] xhci_hcd 0000:00:04.0: trb complete code:1
[   25.188606][    C0] xhci_hcd 0000:00:04.0:  xhci interrupt!
[   25.189480][   T47] usb 1-1: submitted urb:
[   25.189597][   T47] usb 1-1: pipe:2147484288d,stream:0d
[   25.189698][   T47] usb 1-1: control request! transfer flag:0
[   25.189811][   T47] usb 1-1: req type:80
[   25.190312][   T47] usb 1-1: req6
[   25.190410][   T47] usb 1-1: index:409
[   25.190546][   T47] usb 1-1: value:302
[   25.190664][   T47] usb 1-1: length:ff
[   25.192269][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   25.192474][   T47] xhci_hcd 0000:00:04.0: 3020680
